PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30012126.737942766,4285095.25799988
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,25301430.21856852,3612507.6905374485
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,52218588.621708386,12144561.238149397
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,4893135.759886145,1138004.4626064776
2030,TxFixedCosts,annual,834828.1214138838,194157.32043790419
2020,GenVariableOMCostsInTP,timepoint,16426948.137545232,2345419.842526965
2030,GenVariableOMCostsInTP,timepoint,5377040.915656163,1250547.0638682453
