component,npv_cost
TotalGenFixedCosts,82230715.35965115
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,30194565.97845466
TxFixedCosts,2141670.569924347
GenVariableOMCostsInTP,21803989.05320139
