PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,82085966.22732581,11720135.254005767,8.356265923604823,1402556.52
2030,66120431.04489433,15377735.115263686,8.313970021649611,1849626.0
