PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,85273565.18672667,12175256.788864056,8.680760179892113,1402556.52
2030,69669486.50695784,16203144.658766756,8.760227558850683,1849626.0
