PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,41824761.575024724,5971689.012812666
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,16602377.598775541,2370467.449415853
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40515574.649439245,9422772.434419552
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,12378293.986093972,2878839.7638813183
2030,TxFixedCosts,annual,1436216.6819110455,334023.22630890337
2020,GenVariableOMCostsInTP,timepoint,11298987.563384533,1613255.816584544
2030,GenVariableOMCostsInTP,timepoint,4271232.036627359,993367.3122984815
