PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,45910921.31579518,6555105.972280222
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,15047141.89350579,2148412.77118813
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46835084.072338216,10892510.91658054
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,11188760.40388754,2602188.023279973
2030,TxFixedCosts,annual,1422228.299518393,330769.9256917435
2020,GenVariableOMCostsInTP,timepoint,11448537.025102898,1634608.308356999
2030,GenVariableOMCostsInTP,timepoint,3211425.5025730403,746886.4001724339
