PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,87954038.68394576,12557971.561876347,8.953629591965639,1402556.52
2030,73725667.43120341,17146497.18758319,9.270250952129343,1849626.0
