PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,33674139.618715145,4807953.040360686
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20677765.672447074,2952346.4432467385
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,34815836.727406904,8097175.20817151
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,5773415.206614857,1342732.4709585991
2030,TxFixedCosts,annual,1091555.697243477,253864.86613146937
2020,GenVariableOMCostsInTP,timepoint,12186622.48662167,1739991.260347343
2030,GenVariableOMCostsInTP,timepoint,6634799.839278353,1543066.081979134
