,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
0,N-Geothermal,1,North,Geothermal,2020,10.613165453279922,0.0,10.613165453279922,0.0,0.0,29.153153933279974,0.36404861983609926,0.0,10.050667684256085
1,N-Coal_IGCC,1,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
2,N-Coal_ST,1,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,29.153153933279974,0.635951380163899,0.0,17.557369090559998
3,N-NG_CC,1,North,NG_CC,2020,5.352688958737419e-14,0.0,5.352688958737419e-14,0.0,0.0,29.153153933279974,1.8360582772579613e-15,0.0,5.068996443924336e-14
4,N-NG_GT,1,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
5,N-Biomass_IGCC,1,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
6,N-Residential_PV,1,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
7,N-Commercial_PV,1,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
8,N-Central_PV-1,1,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
9,N-Central_PV-2,1,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
10,N-Wind-1,1,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
11,N-Wind-2,1,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.153153933279974,0.0,0.0,0.0
12,N-Geothermal,2,North,Geothermal,2020,10.613165453279922,0.0,10.613165453279922,0.0,0.0,29.15315393327992,0.36404861983609993,0.0,10.050667684256085
13,N-Coal_IGCC,2,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
14,N-Coal_ST,2,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,29.15315393327992,0.6359513801639001,0.0,17.557369090559998
15,N-NG_CC,2,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
16,N-NG_GT,2,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
17,N-Biomass_IGCC,2,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
18,N-Residential_PV,2,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
19,N-Commercial_PV,2,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
20,N-Central_PV-1,2,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
21,N-Central_PV-2,2,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
22,N-Wind-1,2,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
23,N-Wind-2,2,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
24,N-Geothermal,3,North,Geothermal,2020,10.613165453279922,0.0,10.613165453279922,0.0,0.0,29.15315393327997,0.36404861983609926,0.0,10.050667684256085
25,N-Coal_IGCC,3,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
26,N-Coal_ST,3,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,29.15315393327997,0.635951380163899,0.0,17.557369090559998
27,N-NG_CC,3,North,NG_CC,2020,4.8660808715794744e-14,0.0,4.8660808715794744e-14,0.0,0.0,29.15315393327997,1.6691438884163296e-15,0.0,4.608178585385762e-14
28,N-NG_GT,3,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
29,N-Biomass_IGCC,3,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
30,N-Residential_PV,3,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
31,N-Commercial_PV,3,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
32,N-Central_PV-1,3,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
33,N-Central_PV-2,3,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
34,N-Wind-1,3,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
35,N-Wind-2,3,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327997,0.0,0.0,0.0
36,N-Geothermal,4,North,Geothermal,2020,10.613165453279922,0.0,10.613165453279922,0.0,0.0,29.15315393327992,0.36404861983609993,0.0,10.050667684256085
37,N-Coal_IGCC,4,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
38,N-Coal_ST,4,North,Coal_ST,2020,18.539988479999998,0.0,18.539988479999998,0.0,0.0,29.15315393327992,0.6359513801639001,0.0,17.557369090559998
39,N-NG_CC,4,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
40,N-NG_GT,4,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
41,N-Biomass_IGCC,4,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
42,N-Residential_PV,4,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
43,N-Commercial_PV,4,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
44,N-Central_PV-1,4,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
45,N-Central_PV-2,4,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
46,N-Wind-1,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
47,N-Wind-2,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,29.15315393327992,0.0,0.0,0.0
48,N-Geothermal,5,North,Geothermal,2020,21.226447136249845,0.0,21.226447136249845,0.0,0.0,58.30662713624997,0.3640486198360991,0.0,20.101445438028602
49,N-Coal_IGCC,5,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
50,N-Coal_ST,5,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,58.30662713624997,0.6359513801638987,0.0,35.11493046
51,N-NG_CC,5,North,NG_CC,2020,1.265187954402335e-13,0.0,1.265187954402335e-13,0.0,0.0,58.30662713624997,2.169887054941224e-15,0.0,1.198132992819011e-13
52,N-NG_GT,5,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
53,N-Biomass_IGCC,5,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
54,N-Residential_PV,5,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
55,N-Commercial_PV,5,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
56,N-Central_PV-1,5,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
57,N-Central_PV-2,5,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
58,N-Wind-1,5,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
59,N-Wind-2,5,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,58.30662713624997,0.0,0.0,0.0
60,N-Geothermal,6,North,Geothermal,2020,21.226447136249845,0.0,21.226447136249845,0.0,0.0,99.50682713624984,0.21331649040709044,0.0,20.101445438028602
61,N-Coal_IGCC,6,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
62,N-Coal_ST,6,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,99.50682713624984,0.3726395571755888,0.0,35.11493046
63,N-NG_CC,6,North,NG_CC,2020,41.200199999999995,0.0,41.200199999999995,0.0,0.0,99.50682713624984,0.4140439524173208,0.0,39.016589399999994
64,N-NG_GT,6,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
65,N-Biomass_IGCC,6,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
66,N-Residential_PV,6,North,Residential_PV,2020,-4.671463216254777e-15,0.0,-4.671463216254777e-15,-0.0,0.0,99.50682713624984,-4.694615787375444e-17,0.0,-4.4238756657932734e-15
67,N-Commercial_PV,6,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
68,N-Central_PV-1,6,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
69,N-Central_PV-2,6,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
70,N-Wind-1,6,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,99.50682713624984,0.0,0.0,0.0
