PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46073814.00594316,6578363.59411458
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,15116688.446090253,2158342.5440860023
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,43372785.14613371,10087278.480317619
2030,LocalTDFixedCosts,annual,11068169.152886225,2574141.9218585016
2030,FuelCostsPerPeriod,annual,13521333.927281907,3144678.4035269064
2030,TxFixedCosts,annual,1614766.0995294924,375548.7518647911
2020,GenVariableOMCostsInTP,timepoint,11321290.430266663,1616440.1930184737
2030,GenVariableOMCostsInTP,timepoint,4043420.4574758885,940384.8065129004
