TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,2.72838572438182
Central,North,2,1.62842092325546
Central,North,3,2.17840332381864
Central,North,4,1.84841388348073
Central,North,5,1.62842092325546
Central,North,6,1.87001719217485
Central,North,7,6.59978880675818
Central,South,1,2.67583449484833
Central,South,2,4.51497564233161
Central,South,3,3.33141351631964
Central,South,4,3.97819281938195
Central,South,5,4.51497564233162
Central,South,6,3.21741316433092
Central,South,7,11.7953672290997
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
