BuildLocalTD_index_1,BuildLocalTD_index_2,BuildLocalTD
Central,2020,0.723864836325238
Central,2030,2.11193241816261
North,2020,0.835797254487857
North,2030,2.11193241816261
South,2020,1.05966209081309
South,2030,2.11193241816262
