TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,2.72838572438182
Central,North,2,3.0
Central,North,3,2.17840332381864
Central,North,4,1.84841388348073
Central,North,5,1.62842092325546
Central,North,6,3.0
Central,North,7,4.83728880675819
Central,South,1,3.22981697772536
Central,South,2,5.99999999999999
Central,South,3,4.21067883939204
Central,South,4,4.48600891742213
Central,South,5,5.895731300692
Central,South,6,4.47524645454594
Central,South,7,11.7953672290997
North,Central,1,0.0
North,Central,2,1.31671591367476
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,0.0
South,Central,2,1.15397878643083
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
