component,npv_cost
TotalGenFixedCosts,65524991.84738423
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28393592.26824694
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20133263.23326606
