PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266537,4213881.660770301
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23136670.55036355,3303425.9160290435
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,42514139.49550061,9887581.878758203
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,4670848.990314528,1086306.8706809343
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,13159511.848855995,1878899.2300847317
2030,GenVariableOMCostsInTP,timepoint,7793972.874060555,1812656.8211794568
