PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30241639.855557762,4317864.864117044
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,25160498.699137606,3592385.6581706908
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46156640.50728439,10734724.204225788
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,8067266.016678006,1876217.0474147585
2030,TxFixedCosts,annual,1091555.6972434758,253864.8661314691
2020,GenVariableOMCostsInTP,timepoint,16355095.306588454,2335160.7819846976
2030,GenVariableOMCostsInTP,timepoint,7991402.430231456,1858573.3309592977
