PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46633242.63931176,6658238.139659748
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14778326.780623697,2110031.6735888897
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,43629687.352594055,10147026.640138168
2030,LocalTDFixedCosts,annual,11068169.152886225,2574141.9218585016
2030,FuelCostsPerPeriod,annual,9162803.911753487,2131008.059708154
2030,TxFixedCosts,annual,1091555.697243464,253864.86613146638
2020,GenVariableOMCostsInTP,timepoint,11472187.67503363,1637985.1196290462
2030,GenVariableOMCostsInTP,timepoint,8296294.4561607735,1929482.5603669786
