component,npv_cost
TotalGenFixedCosts,71116305.35124411
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29417867.34912319
TxFixedCosts,2398398.145753939
GenVariableOMCostsInTP,19965061.27218124
