load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,2.38834,2.8915,5.27983
North,2025011512,1.70119,2.52267,4.22386
North,2025011600,1.86035,2.8915,4.75185
North,2025011612,1.70119,2.73386,4.43506
North,2025061500,1.70119,2.52267,4.22386
North,2025061512,3.4443,2.8915,6.3358
North,2035011512,0,6.3358,6.3358
Central,2025011500,13.6593,-9.75218,3.90707
Central,2025011512,13.6593,-10.4914,3.1679
Central,2025011600,13.6593,-9.85778,3.80148
Central,2025011612,13.6593,-10.1746,3.48469
Central,2025061500,13.6593,-10.4914,3.1679
Central,2025061512,13.6593,-9.43539,4.22386
Central,2035011512,23.2526,-18.3952,4.85744
South,2025011500,0,6.3358,6.3358
South,2025011512,0,7.39176,7.39176
South,2025011600,0.428722,6.43506,6.86378
South,2025011612,0.715769,6.88719,7.60296
South,2025061500,1.05597,7.39176,8.44773
South,2025061512,4.52165,6.03801,10.5597
South,2035011512,0,11.0876,11.0876
