TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,3.01197441145052
Central,North,2,2.62778245027414
Central,North,3,3.01197441145053
Central,North,4,2.84777541049941
Central,North,5,2.62778245027415
Central,North,6,3.01197441145053
Central,North,7,6.59978880675819
Central,South,1,6.74020984519985
Central,South,2,7.86357815273313
Central,South,3,6.84580646610798
Central,South,4,7.32679532978346
Central,South,5,7.86357815273313
Central,South,6,6.42341998247544
Central,South,7,11.7953672290997
North,Central,1,0.0
North,Central,2,0.0
North,Central,3,0.0
North,Central,4,0.0
North,Central,5,0.0
North,Central,6,0.0
North,Central,7,0.0
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
