TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
N-C,2020,North,Central,N-C,100,0.96,1,3.0119744114505322,3.0119744114505322,37466.83093041523
N-C,2030,North,Central,N-C,100,0.96,1,6.599788806758193,6.599788806758193,82096.70389602419
C-S,2020,Central,South,C-S,200,0.94,1,7.86357815273315,7.86357815273315,195634.69864584447
C-S,2030,Central,South,C-S,200,0.94,1,11.79536722909973,11.79536722909973,293452.0479687668
