PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,55524066.98680722,7927659.316766712
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,18580032.177157607,2652834.584866902
2020,TxFixedCosts,annual,1632606.0979368817,233101.5295762597
2030,TotalGenFixedCosts,annual,43372785.14613372,10087278.48031762
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,13521333.927281907,3144678.4035269064
2030,TxFixedCosts,annual,1614766.0995294922,375548.75186479103
2020,GenVariableOMCostsInTP,timepoint,4818584.49037338,687991.6818379429
2030,GenVariableOMCostsInTP,timepoint,4043420.457475872,940384.8065128964
