PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30581910.36173977,4366448.276589255
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,24067815.099454068,3436373.6116942028
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,45660741.39912471,10619392.150144089
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9092556.174648501,2114670.4303767043
2030,TxFixedCosts,annual,1404384.506237448,326619.9659563089
2020,GenVariableOMCostsInTP,timepoint,14935460.0779915,2132466.976268503
2030,GenVariableOMCostsInTP,timepoint,2584576.4720605207,601099.1117935008
