PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30964965.851881515,4421140.477468243
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,26915684.406221353,3842988.9564976017
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,48706380.71991568,11327721.39107047
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,4440318.610946594,1032692.0491511964
2030,TxFixedCosts,annual,924987.7906808946,215125.89989447946
2020,GenVariableOMCostsInTP,timepoint,19337208.648846462,2760943.328263652
2030,GenVariableOMCostsInTP,timepoint,3774552.484228628,877853.749043434
