gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Biomass_IGCC,BioSolid,2020,0.0,0.0,0.0
Biomass_IGCC,BioSolid,2030,0.0,0.0,0.0
Biomass_IGCC_CCS,BioSolid,2030,0.0,0.0,0.0
Central_PV,Solar,2020,2.792132892766783,0.0,0.0
Central_PV,Solar,2030,37.936442879999994,0.0,0.0
Coal_IGCC,Coal,2020,27.43397058429653,133487.11671024672,20832.918318185453
Coal_IGCC,Coal,2030,27.43404569462013,133487.48217905484,20832.97535576343
Coal_IGCC_CCS,Coal,2030,0.0,0.0,0.0
Coal_ST,Coal,2020,29.664062784,103824.219744,26209.97931343104
Coal_ST,Coal,2030,14.832072,50429.044799999996,12750.835656959998
Commercial_PV,Solar,2020,0.0,0.0,0.0
Commercial_PV,Solar,2030,18.573050159999994,0.0,0.0
Geothermal,Geothermal,2020,33.962222434248034,1126000.5036962763,0.0
Geothermal,Geothermal,2030,33.962315418,1126003.5865260807,0.0
NG_CC,NaturalGas,2020,35.17386496821508,141376.72703983966,12513.710970306485
NG_CC,NaturalGas,2030,-3.452548141645146e-13,-9.556721282471592e-10,0.0
NG_CC_CCS,NaturalGas,2030,2.06089590273799e-14,1.9166331895463307e-10,0.0
NG_GT,NaturalGas,2020,20.60005487999999,481173.66006652784,11356.674294981793
NG_GT,NaturalGas,2030,7.198462681737705e-15,2.0016765179108034e-10,3.968464966588297e-12
Nuclear,Uranium,2030,0.0,0.0,0.0
Residential_PV,Solar,2020,0.0,0.0,0.0
Residential_PV,Solar,2030,10.910049868028592,0.0,0.0
Wind,Wind,2020,-2.9050649352768636e-15,0.0,0.0
Wind,Wind,2030,55.04729359834052,0.0,0.0
