PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,37727650.46647177,5386708.430261576
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20625509.903833263,2944885.427629771
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46491097.35933851,10812509.372850612
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,3094091.504807652,719597.8433808731
2030,TxFixedCosts,annual,848100.9191284226,197244.1963742403
2020,GenVariableOMCostsInTP,timepoint,13908663.695925884,1985862.2272568904
2030,GenVariableOMCostsInTP,timepoint,5632330.241751034,1309920.1135051355
