PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,31915340.429273915,4556833.813380997
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,21578739.329992697,3080986.3754062476
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,35105402.76769514,8164520.048420735
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,6035128.643030202,1403599.5862768278
2030,TxFixedCosts,annual,1091555.697243475,253864.86613146888
2020,GenVariableOMCostsInTP,timepoint,12438554.755433932,1775961.8458327013
2030,GenVariableOMCostsInTP,timepoint,6689413.625658059,1555767.6982166094
