PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,31915340.429273915,4556833.813380997
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,21578739.32999273,3080986.375406252
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,44406111.96588005,10327600.962649409
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9238458.46835411,2148603.161755767
2030,TxFixedCosts,annual,848467.5248896895,197329.45846644693
2020,GenVariableOMCostsInTP,timepoint,12438554.755433932,1775961.8458327013
2030,GenVariableOMCostsInTP,timepoint,7901771.617432157,1837727.748502983
