TECH_TYPE,prev_gen_tech,hsj_coefficients
Biomass_IGCC,346.50751956410534,0.0
Biomass_IGCC_CCS,0.0,0.0
Central_PV,329.51309922429397,0.02957541051642467
Coal_IGCC,0.0,0.4507337649310893
Coal_IGCC_CCS,0.0,0.0
Coal_ST,419.6910140285356,0.25687321725024737
Commercial_PV,22.092530617742256,4.0244210849545665e-17
Geothermal,562.8395917086733,0.39526076319505976
NG_CC,561.6703844603281,0.45263340995527845
NG_CC_CCS,0.0,-8.140114110245973e-19
NG_GT,239.38085336550068,0.0320349717931785
Nuclear,0.0,0.0
Residential_PV,13.413322160772278,5.6584052787771104e-18
Wind,757.0742048700488,0.38288846235872176
