PERIODS,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,106751507.53312942,15241851.492524633,10.867192355659673,1402556.52
2030,74237482.04940392,17265530.73746225,9.334606421764319,1849626.0
