component,npv_cost
TotalGenFixedCosts,74905273.1526842
LocalTDFixedCosts,25308765.15391766
FuelCostsPerPeriod,33729321.74209522
TxFixedCosts,3234704.960080957
EmissionsCosts,0
GenVariableOMCostsInTP,17853432.17424894
