PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,85046429.3314696,12142826.60539914,8.65763798623897,1402556.52
2030,69896622.36221506,16255970.0103582,8.78878757670913,1849626.0
