PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,34576606.23151792,4936806.134871157
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20400969.53033795,2912825.823920386
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,46528307.807888046,10821163.466786062
2030,LocalTDFixedCosts,annual,11068169.152886229,2574141.9218585026
2030,FuelCostsPerPeriod,annual,10489440.78161483,2439546.1326831877
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12348364.686743973,1763084.6166034434
2030,GenVariableOMCostsInTP,timepoint,9918121.57518819,2306673.5049060592
