component,npv_cost
TotalGenFixedCosts,70952081.4905816
LocalTDFixedCosts,25308765.15391766
FuelCostsPerPeriod,29069998.72596298
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20766421.5538172
