PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30581910.36173977,4366448.276589255
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23567175.023468513,3364892.8254672736
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,52582183.21794895,12229123.018857274
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,8528557.912846487,1983500.4464791142
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,14202823.13805732,2027861.9576185418
2030,GenVariableOMCostsInTP,timepoint,4799160.9592298595,1116148.5918995722
