component,npv_cost
TotalGenFixedCosts,83164093.57968873
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,32095732.936315
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19001984.09728718
