PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29921066.881372545,4272093.84150613
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,22629292.209267963,3230983.048436729
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,35603329.92373243,8280323.768862894
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,5713478.796459743,1328792.9635391852
2030,TxFixedCosts,annual,964781.5742435909,224380.8042136268
2020,GenVariableOMCostsInTP,timepoint,12740129.111996688,1819020.268733724
2030,GenVariableOMCostsInTP,timepoint,7282056.751254496,1693599.6642108434
