component,npv_cost
TotalGenFixedCosts,65524396.80510497
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28342771.0057277
TxFixedCosts,2271624.022754055
GenVariableOMCostsInTP,20022185.86325118
