PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,36260563.10155234,5177239.465753307
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20508047.16675006,2928114.2397009074
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,53196267.403445065,12371941.566676782
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,8208496.642081495,1909063.2813744748
2030,TxFixedCosts,annual,1165500.7236888013,271062.3799981787
2020,GenVariableOMCostsInTP,timepoint,13405016.21544338,1913952.0474431189
2030,GenVariableOMCostsInTP,timepoint,2320207.2597599956,539614.338401324
