component,npv_cost
TotalGenFixedCosts,70096725.49303153
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29165111.18863137
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,21526665.0886989
