PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,43994153.94594937,6281432.239027881
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,17919443.95521022,2558516.5952730943
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,48061174.74294317,11177664.798094971
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,10364478.236386234,2410483.392324617
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,13289158.737188227,1897410.0564336204
2030,GenVariableOMCostsInTP,timepoint,7370055.417078168,1714065.6556169523
