load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,5.91033,-0.630503,5.27983
North,2025011512,5.91033,-1.68647,4.22386
North,2025011600,5.91033,-1.15849,4.75185
North,2025011612,5.91033,-1.47528,4.43506
North,2025061500,5.91033,-1.68647,4.22386
North,2025061512,7.79033,-1.45454,6.3358
North,2035011512,7.29533,-0.959536,6.3358
Central,2025011500,4.31616,-0.409085,3.90707
Central,2025011512,3.2824,-0.114501,3.1679
Central,2025011600,4.59448,-0.793002,3.80148
Central,2025011612,3.68,-0.195312,3.48469
Central,2025061500,2.56672,0.601179,3.1679
Central,2025061512,5.6508,-1.42694,4.22386
Central,2035011512,6.18632,-1.32888,4.85744
South,2025011500,5.38229,0.953505,6.3358
South,2025011512,5.76226,1.6295,7.39176
South,2025011600,5.07294,1.79084,6.86378
South,2025011612,6.08808,1.51488,7.60296
South,2025061500,7.49097,0.956762,8.44773
South,2025061512,7.90577,2.65389,10.5597
South,2035011512,8.97262,2.11503,11.0876
