TRANS_TIMEPOINTS_1,TRANS_TIMEPOINTS_2,TRANS_TIMEPOINTS_3,DispatchTx
Central,North,1,0.0
Central,North,2,0.0
Central,North,3,0.0
Central,North,4,0.0
Central,North,5,0.0
Central,North,6,0.0
Central,North,7,0.0
Central,South,1,1.01436751764974
Central,South,2,1.73351142472471
Central,South,3,1.9051479189169
Central,South,4,1.6115760498567
Central,South,5,1.01783142472471
Central,South,6,2.82329009420728
Central,South,7,2.2500296487585
North,Central,1,0.630502595052688
North,Central,2,1.686468804134
North,Central,3,1.15848569959334
North,Central,4,1.47527556231774
North,Central,5,1.686468804134
North,Central,6,1.45453638597138
North,Central,7,0.959535635971378
South,Central,1,0.0
South,Central,2,0.0
South,Central,3,0.0
South,Central,4,0.0
South,Central,5,0.0
South,Central,6,0.0
South,Central,7,0.0
