PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46633242.639311835,6658238.13965976
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14778326.780623736,2110031.6735888952
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,48401008.89048896,11256700.572990818
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,11287332.984376205,2625113.207045842
2030,TxFixedCosts,annual,1091555.6972434758,253864.8661314691
2020,GenVariableOMCostsInTP,timepoint,11472187.675033795,1637985.1196290697
2030,GenVariableOMCostsInTP,timepoint,8137098.267107658,1892458.0463411086
