component,npv_cost
TotalGenFixedCosts,95034251.5298008
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,26065659.76499994
TxFixedCosts,2398398.145753939
GenVariableOMCostsInTP,19609285.94214145
