PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,41824761.575024724,5971689.012812666
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,16602377.598775528,2370467.449415851
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,32716734.855191734,7608983.7057754975
2030,LocalTDFixedCosts,annual,11068169.152886217,2574141.9218584998
2030,FuelCostsPerPeriod,annual,5572255.074142059,1295948.33504125
2030,TxFixedCosts,annual,1151405.0780811196,267784.1330023842
2020,GenVariableOMCostsInTP,timepoint,11298987.56338454,1613255.816584545
2030,GenVariableOMCostsInTP,timepoint,5687613.50372774,1322777.4307601955
