PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,85273565.18672669,12175256.78886406,8.680760179892115,1402556.52
2030,56196177.66402887,13069635.526437826,7.066096349444605,1849626.0
