component,npv_cost
TotalGenFixedCosts,68269399.54051434
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,26240116.59910827
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,19542331.20927463
