,generation_project,timepoint,load_zone,TECH_TYPE,period,total_dispatch_GWh,ccs_value_x,dispatch_after_ccs,ccs_load,ccs_value_y,zonal_dispatch,proportion,tx_losses,prev_gen_tech
46,N-Wind-1,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,18.539988479999998,0.0,0.0,0.0
47,N-Wind-2,4,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,18.539988479999998,0.0,0.0,0.0
48,N-Geothermal,5,North,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
49,N-Coal_IGCC,5,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
50,N-Coal_ST,5,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,37.08018,1.0,0.0,35.11493046
51,N-NG_CC,5,North,NG_CC,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
52,N-NG_GT,5,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
53,N-Biomass_IGCC,5,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
54,N-Residential_PV,5,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
55,N-Commercial_PV,5,North,Commercial_PV,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
56,N-Central_PV-1,5,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
57,N-Central_PV-2,5,North,Central_PV,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
58,N-Wind-1,5,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
59,N-Wind-2,5,North,Wind,2020,0.0,0.0,0.0,0.0,0.0,37.08018,0.0,0.0,0.0
60,N-Geothermal,6,North,Geothermal,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
61,N-Coal_IGCC,6,North,Coal_IGCC,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
62,N-Coal_ST,6,North,Coal_ST,2020,37.08018,0.0,37.08018,0.0,0.0,75.28039478802033,0.49256091316222367,0.0,35.11493046
63,N-NG_CC,6,North,NG_CC,2020,38.20021478802033,0.0,38.20021478802033,0.0,0.0,75.28039478802033,0.5074390868377763,0.0,36.175603404255256
64,N-NG_GT,6,North,NG_GT,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
65,N-Biomass_IGCC,6,North,Biomass_IGCC,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
66,N-Residential_PV,6,North,Residential_PV,2020,0.0,0.0,0.0,0.0,0.0,75.28039478802033,0.0,0.0,0.0
