load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,WithdrawFromCentralGrid
North,2025011500,2.37914,2.90069,5.27983
North,2025011512,1.692,2.53186,4.22386
North,2025011600,1.85116,2.90069,4.75185
North,2025011612,1.692,2.74306,4.43506
North,2025061500,1.692,2.53186,4.22386
North,2025061512,3.43511,2.90069,6.3358
North,2035011512,3.43511,2.90069,6.3358
Central,2025011500,13.6688,-9.76176,3.90707
Central,2025011512,13.6688,-10.5009,3.1679
Central,2025011600,13.6688,-9.86736,3.80148
Central,2025011612,13.6688,-10.1841,3.48469
Central,2025061500,13.6688,-10.5009,3.1679
Central,2025061512,13.6688,-9.44497,4.22386
Central,2035011512,19.6744,-14.8169,4.85744
South,2025011500,0,6.3358,6.3358
South,2025011512,0,7.39176,7.39176
South,2025011600,0.428722,6.43506,6.86378
South,2025011612,0.715769,6.88719,7.60296
South,2025061500,1.05597,7.39176,8.44773
South,2025061512,4.52165,6.03801,10.5597
South,2035011512,0,11.0876,11.0876
