PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,59222425.72562147,8455706.516901975
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,18282795.736677803,2610395.52439224
2020,TxFixedCosts,annual,1633440.4518667774,233220.65762405543
2030,TotalGenFixedCosts,annual,39982430.687165625,9298778.284644889
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,8382964.309912751,1949639.5078099198
2030,TxFixedCosts,annual,1423380.9821480706,331038.0069469778
2020,GenVariableOMCostsInTP,timepoint,4936660.949503318,704850.4962604293
2030,GenVariableOMCostsInTP,timepoint,2506842.118335664,583020.3079798139
