PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,46633242.639311865,6658238.139659763
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,14778326.780623704,2110031.6735888906
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,33060027.917711105,7688823.926096296
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,7581272.008211951,1763188.6383180015
2030,TxFixedCosts,annual,1091555.6972434758,253864.8661314691
2020,GenVariableOMCostsInTP,timepoint,11472187.675033797,1637985.11962907
2030,GenVariableOMCostsInTP,timepoint,6974176.951656161,1621995.5634700444
