component,npv_cost
TotalGenFixedCosts,71762820.68984428
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28390794.17591751
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20634886.90460007
