PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,33674139.618715145,4807953.040360686
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20677765.672447104,2952346.4432467427
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,38088681.07112913,8858345.88712666
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,7713028.503470407,1793831.4585746382
2030,TxFixedCosts,annual,802287.8994302305,186589.3886148835
2020,GenVariableOMCostsInTP,timepoint,12186622.486621674,1739991.2603473435
2030,GenVariableOMCostsInTP,timepoint,8448264.417978395,1964826.4590890144
