component,npv_cost
TotalGenFixedCosts,83906946.1674782
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29545498.16667579
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20809366.27913688
