component,npv_cost
TotalGenFixedCosts,82283885.15793738
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,29501255.08700863
TxFixedCosts,2827339.719856905
GenVariableOMCostsInTP,15021806.57496411
