PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,41824761.575024724,5971689.012812666
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,16602377.598775556,2370467.449415855
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40459123.58291265,9409643.518979926
2030,LocalTDFixedCosts,annual,11068169.152886214,2574141.921858499
2030,FuelCostsPerPeriod,annual,12898877.488233078,2999912.707217637
2030,TxFixedCosts,annual,1520497.2713464417,353624.4987025426
2020,GenVariableOMCostsInTP,timepoint,11298987.563384544,1613255.8165845454
2030,GenVariableOMCostsInTP,timepoint,3722819.0115795694,865822.0120081778
