PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,34576606.23151792,4936806.134871157
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20214540.017774772,2886207.6429693596
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,36669730.168451086,8528338.190895343
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,9410470.1189823,2188608.1883156155
2030,TxFixedCosts,annual,1091555.697243475,253864.86613146888
2020,GenVariableOMCostsInTP,timepoint,12084848.785493914,1725460.1340496424
2030,GenVariableOMCostsInTP,timepoint,7543038.650328568,1754296.6447116905
