PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,29513358.011266537,4213881.660770301
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,24178422.239276875,3452165.965714767
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40065276.24586819,9318045.809630306
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,6241730.208462848,1451649.245019447
2030,TxFixedCosts,annual,1004846.6374765192,233698.8004824947
2020,GenVariableOMCostsInTP,timepoint,14395190.845452564,2055327.9868656304
2030,GenVariableOMCostsInTP,timepoint,6191965.481988501,1440075.3824521196
