PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,30581910.361739762,4366448.276589254
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,23498449.432125997,3355080.268425365
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,40378106.51170151,9390801.248274619
2030,LocalTDFixedCosts,annual,11068169.152886214,2574141.921858499
2030,FuelCostsPerPeriod,annual,6743894.11097167,1568438.3124105018
2030,TxFixedCosts,annual,1177547.964831832,273864.22626928735
2020,GenVariableOMCostsInTP,timepoint,14089993.861083532,2011752.3295356813
2030,GenVariableOMCostsInTP,timepoint,5120887.427337713,1190973.0346315426
