PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,33674139.618715145,4807953.040360686
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20677765.672447104,2952346.4432467427
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,33485078.646081682,7787678.658410346
2030,LocalTDFixedCosts,annual,11068169.15288622,2574141.9218585
2030,FuelCostsPerPeriod,annual,6650490.693762089,1546715.3292718385
2030,TxFixedCosts,annual,1091555.6972434758,253864.8661314691
2020,GenVariableOMCostsInTP,timepoint,12186622.486621674,1739991.2603473435
2030,GenVariableOMCostsInTP,timepoint,7088482.433456304,1648579.77342705
