component,npv_cost
TotalGenFixedCosts,67159218.26479682
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,27328256.36620919
TxFixedCosts,2398398.145753939
GenVariableOMCostsInTP,19275104.92007798
