component,npv_cost
TotalGenFixedCosts,65325352.12062037
LocalTDFixedCosts,25308765.15391765
FuelCostsPerPeriod,28087766.10505713
TxFixedCosts,2109130.347940694
GenVariableOMCostsInTP,20638729.12321978
