PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,34668070.10251025,4949865.236056814
2020,LocalTDFixedCosts,annual,14240596.001031432,2033255.1214361135
2020,FuelCostsPerPeriod,annual,20167979.38545608,2879559.772043703
2020,TxFixedCosts,annual,1306842.4485104633,186589.3886148835
2030,TotalGenFixedCosts,annual,42938545.173658885,9986286.590705717
2030,LocalTDFixedCosts,annual,11068169.152886214,2574141.921858499
2030,FuelCostsPerPeriod,annual,11829429.358666351,2751189.4336983664
2030,TxFixedCosts,annual,1125663.4801725028,261797.3681276428
2020,GenVariableOMCostsInTP,timepoint,12074357.784621913,1723962.2415983402
2030,GenVariableOMCostsInTP,timepoint,5523398.806170562,1284585.7541307309
